2024-12-13 10:50:35,588 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 10:53:04,192 - INFO - Conex�o estabelecida com ('127.0.0.1', 62994)
2024-12-13 10:53:04,192 - INFO - Clientes ativos: 1
2024-12-13 10:53:08,357 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:54:34,449 - INFO - Mensagem enviada para ('127.0.0.1', 62994): andrei
2024-12-13 10:54:57,239 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:56:20,682 - INFO - Mensagem enviada para ('127.0.0.1', 62994): joia
2024-12-13 10:58:16,559 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 11:02:21,881 - INFO - Monitoramento: CPU 64.1% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:02:26,884 - INFO - Monitoramento: CPU 30.4% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:02:31,889 - INFO - Monitoramento: CPU 30.1% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:02:36,893 - INFO - Monitoramento: CPU 41.4% | Memória 77.5% | Clientes ativos 2
2024-12-13 11:02:41,896 - INFO - Monitoramento: CPU 7.1% | Memória 77.4% | Clientes ativos 2
2024-12-13 11:02:46,901 - INFO - Monitoramento: CPU 14.7% | Memória 77.2% | Clientes ativos 2
2024-12-13 11:02:51,905 - INFO - Monitoramento: CPU 16.7% | Memória 77.0% | Clientes ativos 2
2024-12-13 11:02:56,910 - INFO - Monitoramento: CPU 26.3% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:03:01,916 - INFO - Monitoramento: CPU 48.1% | Memória 77.2% | Clientes ativos 2
2024-12-13 11:03:06,921 - INFO - Monitoramento: CPU 40.6% | Memória 77.5% | Clientes ativos 2
2024-12-13 11:03:11,928 - INFO - Monitoramento: CPU 12.3% | Memória 77.5% | Clientes ativos 2
2024-12-13 11:03:16,934 - INFO - Monitoramento: CPU 10.2% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:03:21,940 - INFO - Monitoramento: CPU 13.1% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:03:26,943 - INFO - Monitoramento: CPU 19.5% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:03:31,947 - INFO - Monitoramento: CPU 15.1% | Memória 77.2% | Clientes ativos 2
2024-12-13 11:03:36,953 - INFO - Monitoramento: CPU 21.6% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:03:41,957 - INFO - Monitoramento: CPU 8.6% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:03:46,964 - INFO - Monitoramento: CPU 7.6% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:03:51,972 - INFO - Monitoramento: CPU 14.7% | Memória 77.5% | Clientes ativos 2
2024-12-13 11:03:56,978 - INFO - Monitoramento: CPU 6.8% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:04:01,988 - INFO - Monitoramento: CPU 8.7% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:04:06,992 - INFO - Monitoramento: CPU 7.1% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:04:11,996 - INFO - Monitoramento: CPU 20.9% | Memória 77.2% | Clientes ativos 2
2024-12-13 11:04:17,005 - INFO - Monitoramento: CPU 9.3% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:04:22,013 - INFO - Monitoramento: CPU 8.3% | Memória 77.2% | Clientes ativos 2
2024-12-13 11:04:27,021 - INFO - Monitoramento: CPU 4.7% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:04:32,028 - INFO - Monitoramento: CPU 3.0% | Memória 77.2% | Clientes ativos 2
2024-12-13 11:04:37,036 - INFO - Monitoramento: CPU 5.3% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:04:42,043 - INFO - Monitoramento: CPU 7.4% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:04:47,051 - INFO - Monitoramento: CPU 7.7% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:04:52,061 - INFO - Monitoramento: CPU 7.3% | Memória 77.2% | Clientes ativos 2
2024-12-13 11:04:57,066 - INFO - Monitoramento: CPU 7.4% | Memória 76.7% | Clientes ativos 2
2024-12-13 11:05:02,074 - INFO - Monitoramento: CPU 7.6% | Memória 76.7% | Clientes ativos 2
2024-12-13 11:05:07,081 - INFO - Monitoramento: CPU 5.1% | Memória 76.8% | Clientes ativos 2
2024-12-13 11:05:12,084 - INFO - Monitoramento: CPU 17.4% | Memória 77.0% | Clientes ativos 2
2024-12-13 11:05:17,087 - INFO - Monitoramento: CPU 17.7% | Memória 77.1% | Clientes ativos 2
2024-12-13 11:05:22,094 - INFO - Monitoramento: CPU 5.3% | Memória 77.1% | Clientes ativos 2
2024-12-13 11:05:27,098 - INFO - Monitoramento: CPU 11.1% | Memória 77.4% | Clientes ativos 2
2024-12-13 11:05:32,104 - INFO - Monitoramento: CPU 13.6% | Memória 77.9% | Clientes ativos 2
2024-12-13 11:05:37,112 - INFO - Monitoramento: CPU 15.6% | Memória 78.2% | Clientes ativos 2
2024-12-13 11:05:42,120 - INFO - Monitoramento: CPU 6.1% | Memória 78.1% | Clientes ativos 2
2024-12-13 11:05:47,128 - INFO - Monitoramento: CPU 11.8% | Memória 76.9% | Clientes ativos 2
2024-12-13 11:05:52,138 - INFO - Monitoramento: CPU 3.4% | Memória 76.8% | Clientes ativos 2
2024-12-13 11:05:57,147 - INFO - Monitoramento: CPU 3.6% | Memória 76.8% | Clientes ativos 2
2024-12-13 11:06:02,155 - INFO - Monitoramento: CPU 2.9% | Memória 76.8% | Clientes ativos 2
2024-12-13 11:06:07,163 - INFO - Monitoramento: CPU 4.3% | Memória 76.7% | Clientes ativos 2
2024-12-13 11:06:12,171 - INFO - Monitoramento: CPU 5.2% | Memória 76.7% | Clientes ativos 2
2024-12-13 11:06:17,178 - INFO - Monitoramento: CPU 3.6% | Memória 76.6% | Clientes ativos 2
2024-12-13 11:06:22,185 - INFO - Monitoramento: CPU 5.1% | Memória 76.6% | Clientes ativos 2
